City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ribeira Grande,PT,2021-09-29 16:20:51,38.5167,-28.7,75.6,88,75,8.05
68,Nanortalik,GL,2021-09-29 16:20:52,60.1432,-45.2371,38.25,61,11,4.97
69,Havoysund,NO,2021-09-29 16:20:52,70.9963,24.6622,46.63,87,66,3.96
70,Mount Isa,AU,2021-09-29 16:20:53,-20.7333,139.5,73.17,60,34,4.61
71,East London,ZA,2021-09-29 16:20:53,-33.0153,27.9116,58.14,100,90,6.91
72,Butaritari,KI,2021-09-29 16:20:53,3.0707,172.7902,81.75,78,95,15.21
73,Tuktoyaktuk,CA,2021-09-29 16:20:54,69.4541,-133.0374,33.8,100,90,27.63
74,Ternate,ID,2021-09-29 16:20:54,0.8,127.4,80.87,80,38,1.88
75,Kalmunai,LK,2021-09-29 16:20:54,7.4167,81.8167,82.78,76,93,4.21
76,Karratha,AU,2021-09-29 16:20:55,-20.7377,116.8463,74.93,48,5,14.16
77,Carnarvon,AU,2021-09-29 16:20:55,-24.8667,113.6333,69.87,88,8,10.36
78,Abis,PH,2021-09-29 16:20:55,9.7173,122.9438,76.17,93,100,2.84
79,Half Moon Bay,US,2021-09-29 16:20:56,37.4636,-122.4286,64.45,77,1,3.44
80,Faya,SA,2021-09-29 16:20:56,18.3851,42.4509,69.91,56,51,6.49
81,Bengkulu,ID,2021-09-29 16:20:56,-3.8004,102.2655,75.9,91,100,6.98
82,Airai,TL,2021-09-29 16:20:57,-8.9266,125.4092,58.91,83,9,2.21
83,Kula,TR,2021-09-29 16:20:57,38.5473,28.6498,68.79,33,8,9.46
84,Edd,ER,2021-09-29 16:20:57,13.9297,41.6925,88.9,65,88,7.74
85,Esmeraldas,BR,2021-09-29 16:20:58,-19.7625,-44.3139,93.31,26,39,6.08
86,Mattru,SL,2021-09-29 16:20:58,7.6244,-11.8332,80.11,77,73,6.51
87,Naica,MX,2021-09-29 16:20:58,27.85,-105.4833,73.99,32,2,12.26
88,Thinadhoo,MV,2021-09-29 16:20:59,0.5333,72.9333,82.89,70,63,5.86
89,Bathsheba,BB,2021-09-29 16:20:59,13.2167,-59.5167,90.21,66,40,10.36
90,Walvis Bay,NA,2021-09-29 16:20:59,-22.9575,14.5053,63.55,59,6,13.8
91,Balikpapan,ID,2021-09-29 16:21:00,-1.2675,116.8289,78.35,87,96,5.64
92,Yining,CN,2021-09-29 16:21:00,29.0361,114.5636,68.85,96,25,1.68
93,Vilyuysk,RU,2021-09-29 16:21:00,63.7553,121.6247,26.6,92,63,5.26
94,Ulagan,RU,2021-09-29 16:21:01,50.6321,87.9563,40.59,91,86,2.08
