City_ID,City,Country,Max Temp,Current_Description,Lat,Lng,Hotel Name
238,Sorland,NO,51.87,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
240,Geraldton,AU,64.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
241,Camana,PE,66.31,few clouds,-16.6228,-72.7111,Hostal Morales
242,Saint-Denis,FR,57.15,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
248,Bundaberg,AU,66.22,light rain,-24.85,152.35,Takalvan Motel
249,Bridlington,GB,59.18,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
254,Ommen,NL,56.1,overcast clouds,52.5333,6.5,Hotel Restaurant De Gloepe
255,Mount Gambier,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
258,Bergen,NO,57.07,broken clouds,60.392,5.328,Clarion Collection Hotel Havnekontoret
260,Tignere,CM,65.75,light rain,7.3667,12.65,SADECK
262,East London,ZA,63.86,broken clouds,-33.0153,27.9116,Tu Casa
266,Sooke,CA,60.57,overcast clouds,48.3746,-123.7276,Sooke Harbour House Hotel & Resort
267,Kamaishi,JP,68.45,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
270,Coquimbo,CL,60.12,clear sky,-29.9533,-71.3436,Punto de encuentro
276,Birjand,IR,66.72,clear sky,32.8663,59.2211,Birjand Tourist Hotel
278,Benavente,ES,63.88,broken clouds,42.0025,-5.6783,Parador de Benavente
279,Cidreira,BR,65.41,light rain,-30.1811,-50.2056,Hotel Castelo
283,Caceres,ES,66.79,clear sky,39.522,-6.3748,Ahc Hoteles
290,Linares,CL,61.03,broken clouds,-35.85,-71.6,Hotel Real
292,General Roca,AR,65.25,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
298,Mastic Beach,US,65.16,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
299,Rio Grande,BR,61.95,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
300,Christchurch,NZ,54.32,clear sky,-43.5333,172.6333,The George
312,Port Macquarie,AU,60.76,light rain,-31.4333,152.9167,Rydges Port Macquarie
317,Waipawa,NZ,52.03,clear sky,-41.4122,175.5153,Tora Coastal Walk
332,Ampanihy,MG,68.61,clear sky,-24.7,44.75,Angora Hotel
334,Mercedes,AR,63.18,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
335,Maura,NO,50.11,overcast clouds,60.25,11.0167,Kringler guesthouse AS
338,Martigues,FR,60.89,clear sky,43.4,5.05,Hotel Kyriad Martigues
349,Broome,US,59.05,overcast clouds,42.2506,-75.833,Chenango Valley State Park
350,Horuphav,DK,53.55,light rain,54.9102,9.8987,Vollerup
351,Kuito,AO,63.88,overcast clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
358,Faya,SA,69.15,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
363,Komsomolskiy,UZ,62.02,overcast clouds,40.4272,71.7189,Ikathouse
370,Sherbrooke,CA,54.12,broken clouds,45.4001,-71.8991,Grand Times Hotel Sherbrooke
372,Naron,ES,63.01,overcast clouds,43.5167,-8.1528,Marcial
377,Hare Bay,CA,54.75,overcast clouds,48.8499,-54.0148,
381,Kuryk,KZ,54.68,overcast clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
385,Yeppoon,AU,67.78,overcast clouds,-23.1333,150.7333,Villa Mar Colina
387,Jurmala,LV,50.02,overcast clouds,56.968,23.7704,Baltic Beach Hotel & SPA
390,High Prairie,CA,64.78,overcast clouds,55.4334,-116.4858,Royal Star Motor Inn
395,Deblin,PL,52.66,light rain,51.5591,21.8483,Pokoje Goscinne Deblin
402,Roald,NO,58.12,clear sky,62.5833,6.1333,Flem Cabins
405,Safita,SY,68.83,clear sky,34.8205,36.1153,Safita Cham Hotel
408,Amos,CA,53.13,overcast clouds,48.5669,-78.1162,"Amosphère, complexe hôtelier"
420,Ballina,AU,63.79,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
422,Barcelos,PT,65.91,broken clouds,41.5388,-8.6151,Hotel Do Terço
423,Cabildo,AR,67.24,clear sky,-38.4842,-61.8954,
428,Taltal,CL,63.32,few clouds,-25.4,-70.4833,Residencial Karime
430,Ambilobe,MG,69.87,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
433,Smithers,CA,52.54,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
436,Lakes Entrance,AU,51.17,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
437,Trelew,AR,65.01,broken clouds,-43.249,-65.3051,Hotel Touring Club
442,Moree,AU,60.82,overcast clouds,-29.4667,149.85,Molika Springs Motel
445,Shaunavon,CA,68.68,clear sky,49.6501,-108.4181,Bear's Den Lodge
446,Vestmanna,FO,50.92,broken clouds,62.1564,-7.1664,Budget Guesthouse Borgustova
447,Bay Roberts,CA,61.52,overcast clouds,47.5999,-53.2648,Stonewall Inn
448,Huanren,CN,54.28,overcast clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
456,Asosa,ET,59.59,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
459,Taunggyi,MM,62.64,scattered clouds,20.7833,97.0333,True Treasure Hotel
469,Horsham,GB,60.71,broken clouds,51.064,-0.3272,Springfields Hotel
471,Dzhankoy,UA,55.22,clear sky,45.7167,34.4,"ОТЕЛЬ ""Карпаты"""
479,Zemio,CF,69.37,light rain,5.0314,25.1361,OCHA Office
482,Lata,PT,64.92,broken clouds,40.1629,-8.3327,Casa Maquia
489,Epiniana,GR,52.74,scattered clouds,39.1429,21.6134,ΤΟ ΠΑΝΟΡΑΜΑ ΣΤΟ ΜΠΑΛΚΟΝΙ ΤΩΝ ΑΓΡΑΦΩΝ
491,Stutterheim,ZA,53.83,broken clouds,-32.5708,27.424,Yellowwood Creek
497,Comodoro Rivadavia,AR,52.86,broken clouds,-45.8667,-67.5,Austral Hotel
498,Chengde,CN,50.22,clear sky,40.9725,117.9361,Super 8 Hotel
500,Merano,IT,63.66,broken clouds,46.6682,11.1595,Hotel Adria Merano
506,Mokobeng,BW,67.95,overcast clouds,-22.9965,27.6678,Omphile B. Molefhe
507,Urumqi,CN,59.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
509,Simao,CN,62.17,clear sky,22.7886,100.9748,Changyu Hotel
511,Yebaishou,CN,51.22,scattered clouds,41.3975,119.6408,Siji Home
512,Visnes,NO,55.58,few clouds,59.3556,5.2242,Park Inn Haugesund Airport
513,Talcahuano,CL,53.4,few clouds,-36.7167,-73.1167,departamento comodo
