City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
79,Robertsport,LR,6.7533,-11.3686,79.43,84,100,9.31,overcast clouds
80,Bograd,RU,54.2344,90.8328,42.55,88,98,3.78,overcast clouds
81,Jamestown,US,42.097,-79.2353,60.3,67,75,5.99,broken clouds
82,Flinders,AU,-34.5833,150.8552,59.18,93,100,1.01,moderate rain
83,Port Blair,IN,11.6667,92.75,80.94,83,56,8.81,broken clouds
84,Khandyga,RU,62.6667,135.6,33.08,71,100,2.28,overcast clouds
85,Saint Albans,GB,51.75,-0.3333,59.32,97,90,16.11,light intensity drizzle
86,Oksfjord,NO,70.2396,22.3479,45.0,80,53,7.4,broken clouds
87,Tabas,IR,33.5959,56.9244,81.77,13,0,3.09,clear sky
88,Albany,US,42.6001,-73.9662,57.81,84,98,7.14,overcast clouds
89,Alyangula,AU,-13.8483,136.4192,71.47,100,75,0.0,broken clouds
90,Barrow,US,71.2906,-156.7887,30.22,69,75,12.66,light snow
91,Port Hardy,CA,50.6996,-127.4199,55.04,85,83,5.93,light rain
92,Dingle,PH,10.9995,122.6711,75.43,91,79,1.54,broken clouds
93,Grand-Santi,GF,4.25,-54.3833,81.68,69,100,4.07,moderate rain
94,Port Hedland,AU,-20.3167,118.5667,64.45,100,2,6.91,clear sky
95,Talnakh,RU,69.4865,88.3972,30.56,99,100,4.09,light snow
96,Mar Del Plata,AR,-38.0023,-57.5575,61.0,46,100,8.99,overcast clouds
97,Tiksi,RU,71.6872,128.8694,28.92,77,72,5.88,broken clouds
98,Ushuaia,AR,-54.8,-68.3,46.06,36,40,3.44,scattered clouds
99,Puerto Ayora,EC,-0.7393,-90.3518,71.71,86,67,9.28,broken clouds
100,Norman Wells,CA,65.282,-126.8329,38.7,83,100,8.01,overcast clouds
101,Lorengau,PG,-2.0226,147.2712,77.9,90,100,14.43,overcast clouds
102,Bluff,NZ,-46.6,168.3333,50.81,81,65,20.49,broken clouds
103,Garowe,SO,8.4054,48.4845,80.1,60,100,16.98,overcast clouds
104,Usinsk,RU,65.9939,57.5281,32.43,82,95,7.67,overcast clouds
105,Seoni Malwa,IN,22.45,77.4667,75.7,90,92,1.36,overcast clouds
106,Kodiak,US,57.79,-152.4072,45.91,87,75,4.61,light rain
107,Turukhansk,RU,65.8167,87.9833,34.63,83,100,7.74,overcast clouds
108,Guerrero Negro,MX,27.9769,-114.0611,74.39,53,0,11.5,clear sky
109,Katsuura,JP,35.1333,140.3,70.11,95,100,26.6,moderate rain
110,Butaritari,KI,3.0707,172.7902,81.68,76,100,12.26,light rain
111,Kapaa,US,22.0752,-159.319,81.19,72,37,5.01,light rain
112,Guhagar,IN,17.4842,73.1929,75.54,93,100,4.47,overcast clouds
113,Cherskiy,RU,68.75,161.3,11.46,98,99,5.53,overcast clouds
114,Jasper,US,37.2001,-94.3502,83.53,78,75,16.11,thunderstorm
115,Adzope,CI,6.1069,-3.8619,73.29,97,98,2.91,light rain
116,Srednekolymsk,RU,67.45,153.6833,16.5,86,7,7.74,clear sky
117,Port Lincoln,AU,-34.7333,135.8667,54.86,70,100,13.94,overcast clouds
118,New Norfolk,AU,-42.7826,147.0587,54.75,74,100,1.99,overcast clouds
119,Kampot,KH,10.6167,104.1833,79.11,87,100,1.79,overcast clouds
120,La Rioja,ES,42.25,-2.5,56.48,68,2,5.23,clear sky
121,Mabaruma,GY,8.2,-59.7833,79.3,87,100,4.41,overcast clouds
122,Araouane,ML,18.9048,-3.5265,96.01,20,65,9.46,broken clouds
123,Aksu,CN,41.1231,80.2644,66.07,21,40,0.96,scattered clouds
124,Port-Gentil,GA,-0.7193,8.7815,78.26,84,100,12.01,overcast clouds
125,Chuy,UY,-33.6971,-53.4616,58.95,92,100,13.91,heavy intensity rain
126,Kloulklubed,PW,7.0419,134.2556,82.71,78,100,11.88,overcast clouds
127,Pevek,RU,69.7008,170.3133,27.39,87,100,11.86,light snow
128,Chakulia,IN,22.4833,86.7167,76.12,96,100,6.53,overcast clouds
129,Tilichiki,RU,60.4667,166.1,28.83,45,18,8.08,few clouds
130,Bekovo,RU,52.4663,43.712,43.74,74,46,4.83,scattered clouds
131,Avarua,CK,-21.2078,-159.775,80.65,74,20,13.8,few clouds
132,Westport,US,41.1415,-73.3579,65.25,61,92,4.0,overcast clouds
